iter	Passed	Remaining
149	10521	94696
150	10585	94572
151	10656	94504
152	10730	94474
153	10814	94525
154	10894	94535
155	10977	94575
156	11074	94737
157	11143	94653
158	11211	94555
159	11281	94486
160	11354	94432
161	11421	94336
162	11489	94240
163	11548	94080
164	11618	94002
165	11688	93928
166	11750	93795
167	11818	93703
168	11889	93639
169	11953	93518
170	12026	93466
171	12086	93321
172	12149	93196
173	12213	93079
174	12273	92924
175	12334	92790
176	12404	92716
177	12468	92602
178	12530	92473
179	12591	92340
180	12651	92192
181	12712	92061
182	12780	91980
183	12845	91873
184	12914	91797
185	12973	91654
186	13040	91560
187	13106	91467
188	13173	91375
189	13247	91340
190	13312	91235
191	13381	91158
192	13449	91077
193	13519	91010
194	13580	90885
195	13645	90781
196	13719	90740
197	13784	90645
198	13851	90558
199	13921	90488
200	13988	90405
201	14059	90342
202	14128	90271
203	14203	90233
204	14276	90185
205	14342	90094
206	14411	90022
207	14481	89951
208	14547	89858
209	14615	89780
210	14683	89699
211	14747	89598
212	14816	89525
213	14881	89430
214	14955	89384
215	15028	89333
216	15092	89230
217	15161	89160
218	15228	89077
219	15302	89032
220	15366	88930
221	15432	88843
222	15499	88754
223	15574	88716
224	15638	88618
225	15714	88584
226	15804	88633
227	15897	88690
228	15999	88800
229	16067	88720
230	16134	88636
231	16204	88564
232	16262	88431
233	16323	88313
234	16391	88236
235	16453	88125
236	16516	88015
237	16578	87908
238	16648	87837
239	16711	87737
240	16779	87658
241	16843	87556
242	16917	87511
243	16977	87394
244	17040	87288
245	17107	87207
246	17173	87120
247	17236	87017
248	17300	86921
249	17362	86811
250	17430	86734
251	17489	86616
252	17555	86528
253	17626	86467
254	17694	86390
255	17759	86299
256	17830	86239
257	17893	86139
258	17958	86050
259	18027	85978
260	18095	85903
261	18162	85819
262	18235	85770
263	18307	85711
264	18372	85624
265	18439	85544
266	18505	85457
267	18574	85387
268	18637	85289
269	18697	85176
270	18756	85062
271	18824	84987
272	18886	84887
273	18951	84796
274	19013	84698
275	19075	84597
276	19141	84510
277	19213	84455
278	19284	84396
279	19346	84294
280	19407	84191
281	19465	84074
282	19532	83997
283	19599	83917
284	19664	83831
285	19729	83746
286	19784	83620
287	19862	83586
288	19937	83543
289	19998	83440
290	20064	83358
291	20124	83254
292	20183	83145
293	20249	83065
294	20307	82951
295	20373	82872
296	20437	82781
297	20508	82721
298	20570	82627
299	20634	82539
300	20713	82510
301	20793	82487
302	20873	82461
303	20955	82444
304	21045	82457
305	21104	82349
306	21171	82271
307	21233	82177
308	21300	82101
309	21366	82020
310	21426	81914
311	21489	81824
312	21549	81723
313	21618	81656
314	21689	81594
315	21763	81544
316	21823	81444
317	21890	81366
318	21953	81276
319	22021	81203
320	22083	81108
321	22146	81021
322	22214	80950
323	22278	80861
324	22341	80771
325	22402	80675
326	22464	80583
327	22525	80486
328	22590	80404
329	22653	80316
330	22718	80236
331	22777	80132
332	22838	80038
333	22908	79972
334	22971	79885
335	23033	79794
336	23096	79706
337	23160	79624
338	23225	79541
339	23291	79466
340	23351	79368
341	23416	79286
342	23480	79204
343	23543	79115
344	23603	79021
345	23666	78932
346	23728	78845
347	23805	78803
348	23867	78716
349	23953	78704
350	24014	78612
351	24078	78529
352	24140	78439
353	24210	78377
354	24288	78338
355	24356	78270
356	24422	78192
357	24480	78090
358	24538	77990
359	24601	77904
360	24667	77829
361	24736	77762
362	24805	77695
363	24869	77614
364	24936	77543
365	25003	77469
366	25062	77373
367	25128	77298
368	25197	77229
369	25262	77153
370	25329	77079
371	25389	76988
372	25453	76906
373	25517	76826
374	25580	76740
375	25652	76684
376	25736	76664
377	25815	76625
378	25956	76773
379	26072	76846
380	26165	76848
381	26255	76841
382	26323	76770
383	26387	76688
384	26457	76622
385	26523	76548
386	26590	76473
387	26659	76405
388	26723	76322
389	26785	76235
390	26854	76167
391	26928	76115
392	27000	76053
393	27065	75974
394	27129	75893
395	27197	75823
396	27268	75761
397	27330	75674
398	27414	75648
399	27489	75596
400	27562	75538
401	27627	75459
402	27703	75411
403	27774	75348
404	27844	75284
405	28021	75505
406	28116	75506
407	28189	75447
408	28258	75379
409	28327	75308
410	28394	75235
411	28456	75146
412	28522	75070
413	28591	75000
414	28654	74916
415	28716	74827
416	28784	74757
417	28850	74680
418	28916	74602
419	28984	74531
420	29043	74436
421	29114	74371
422	29179	74293
423	29241	74206
424	29313	74146
425	29381	74073
426	29445	73992
427	29511	73916
428	29574	73832
429	29638	73752
430	29710	73689
431	29769	73595
432	29832	73512
433	29911	73470
434	29999	73446
435	30066	73373
436	30139	73315
437	30208	73245
438	30271	73161
439	30337	73085
440	30400	73002
441	30462	72915
442	30524	72830
443	30591	72758
444	30667	72705
445	30770	72717
446	30889	72767
447	31013	72825
448	31097	72790
449	31169	72729
450	31239	72661
451	31305	72584
452	31368	72500
453	31432	72418
454	31496	72337
455	31558	72252
456	31623	72174
457	31685	72088
458	31760	72032
459	31823	71949
460	31891	71877
461	31961	71810
462	32032	71744
463	32107	71687
464	32175	71616
465	32250	71560
466	32318	71489
467	32385	71413
468	32445	71325
469	32505	71235
470	32572	71160
471	32645	71100
472	32709	71020
473	32775	70944
474	32851	70890
475	32921	70821
476	32985	70742
477	33055	70674
478	33125	70608
479	33187	70523
480	33252	70446
481	33327	70388
482	33388	70303
483	33462	70243
484	33529	70169
485	33596	70097
486	33658	70012
487	33730	69948
488	33791	69863
489	33870	69814
490	33947	69761
491	34011	69681
492	34094	69641
493	34152	69548
494	34216	69470
495	34304	69438
496	34378	69378
497	34443	69301
498	34509	69226
499	34571	69142
500	34640	69074
501	34706	68998
502	34778	68934
503	34855	68881
504	34928	68820
505	34997	68749
506	35066	68681
507	35132	68605
508	35206	68544
509	35279	68484
510	35341	68401
511	35410	68331
512	35476	68255
513	35547	68190
514	35618	68124
515	35697	68075
516	35780	68031
517	35859	67979
518	35947	67947
519	36045	67931
520	36119	67872
521	36187	67799
522	36257	67732
523	36330	67669
524	36393	67587
525	36456	67507
526	36525	67437
527	36597	67373
528	36663	67296
529	36732	67227
530	36802	67159
531	36876	67098
532	36937	67013
533	37012	66954
534	37083	66888
535	37147	66809
536	37217	66742
537	37285	66669
538	37350	66593
539	37414	66513
540	37482	66443
541	37547	66366
542	37627	66315
543	37708	66267
544	37786	66212
545	37859	66149
546	37926	66076
547	37990	65998
548	38063	65934
549	38126	65854
550	38196	65787
551	38263	65713
552	38325	65631
553	38399	65569
554	38469	65502
555	38539	65434
556	38603	65355
557	38665	65273
558	38731	65198
559	38797	65124
560	38870	65060
561	38937	64988
562	39000	64908
563	39061	64826
564	39123	64743
565	39187	64666
566	39252	64590
567	39309	64501
568	39373	64422
569	39443	64355
570	39511	64284
571	39577	64209
572	39646	64139
573	39709	64061
574	39771	63980
575	39833	63900
576	39895	63819
577	39963	63748
578	40032	63678
579	40106	63616
580	40165	63532
581	40244	63477
582	40309	63402
583	40367	63315
584	40432	63241
585	40505	63177
586	40569	63100
587	40642	63037
588	40727	62992
589	40806	62938
590	40892	62894
591	40979	62854
592	41046	62780
593	41110	62704
594	41171	62622
595	41234	62543
596	41299	62467
597	41361	62387
598	41423	62308
599	41492	62238
600	41555	62160
601	41619	62083
602	41674	61993
603	41742	61922
604	41806	61845
605	41877	61779
606	41941	61702
607	42004	61624
608	42074	61557
609	42139	61482
610	42201	61403
611	42266	61327
612	42336	61259
613	42395	61176
614	42463	61106
615	42534	61039
616	42597	60961
617	42660	60883
618	42727	60812
619	42790	60735
620	42853	60656
621	42922	60588
622	42989	60516
623	43051	60437
624	43119	60366
625	43178	60284
626	43241	60207
627	43311	60139
628	43373	60061
629	43437	59985
630	43503	59912
631	43563	59830
632	43629	59757
633	43695	59685
634	43765	59616
635	43824	59535
636	43890	59461
637	43959	59394
638	44030	59327
639	44101	59260
640	44139	59151
641	44205	59078
642	44276	59011
643	44347	58945
644	44412	58872
645	44480	58801
646	44552	58737
647	44617	58664
648	44681	58588
649	44746	58514
650	44809	58438
651	44880	58372
652	44945	58298
653	45009	58222
654	45075	58150
655	45135	58070
656	45203	58000
657	45265	57923
658	45327	57846
659	45395	57776
660	45464	57707
661	45532	57637
662	45597	57564
663	45673	57505
664	45755	57452
665	45831	57392
666	45925	57355
667	46018	57315
668	46087	57248
669	46158	57180
670	46226	57111
671	46288	57033
672	46359	56967
673	46435	56907
674	46497	56830
675	46560	56754
676	46641	56700
677	46698	56617
678	46760	56540
679	46834	56476
680	46898	56402
681	46964	56329
682	47030	56257
683	47096	56185
684	47158	56108
685	47219	56030
686	47277	55948
687	47344	55877
688	47406	55800
689	47476	55733
690	47540	55659
691	47604	55585
692	47665	55506
693	47724	55425
694	47789	55353
695	47862	55289
696	47928	55217
697	47995	55146
698	48065	55079
699	48131	55007
700	48197	54935
701	48258	54857
702	48323	54784
703	48389	54713
704	48463	54650
705	48529	54578
706	48601	54513
707	48672	54447
708	48733	54369
709	48794	54292
710	48863	54223
711	48926	54149
712	49000	54085
713	49062	54009
714	49123	53933
715	49192	53864
716	49260	53794
717	49325	53722
718	49383	53641
719	49446	53567
720	49521	53504
721	49672	53524
722	49742	53457
723	49796	53373
724	49869	53308
725	49933	53234
726	49992	53155
727	50059	53085
728	50119	53007
729	50184	52934
730	50244	52856
731	50305	52779
732	50366	52702
733	50432	52631
734	50498	52559
735	50559	52483
736	50629	52415
737	50721	52371
738	50818	52331
739	50887	52263
740	50974	52213
741	51048	52149
742	51111	52074
743	51174	51999
744	51240	51928
745	51302	51852
746	51364	51776
747	51417	51692
748	51483	51620
749	51550	51550
750	51615	51478
751	51683	51408
752	51747	51335
753	51813	51263
754	51881	51193
755	51947	51122
756	52007	51046
757	52074	50975
758	52132	50895
759	52189	50815
760	52246	50736
761	52311	50664
762	52385	50600
763	52449	50527
764	52511	50452
765	52585	50389
766	52651	50317
767	52720	50248
768	52786	50178
769	52854	50108
770	52917	50034
771	52985	49965
772	53052	49895
773	53118	49824
774	53182	49751
775	53239	49671
776	53304	49600
777	53367	49525
778	53431	49453
779	53505	49389
780	53567	49314
781	53628	49239
782	53689	49164
783	53753	49091
784	53826	49026
785	53917	48978
786	54010	48931
787	54108	48889
788	54188	48831
789	54268	48772
790	54343	48710
791	54401	48632
792	54464	48557
793	54537	48493
794	54625	48441
795	54687	48366
796	54750	48293
797	54827	48231
798	54889	48157
799	54961	48090
800	55029	48021
801	55119	47971
802	55193	47908
803	55266	47842
804	55331	47770
805	55397	47699
806	55459	47625
807	55525	47553
808	55586	47479
809	55664	47417
810	55743	47357
811	55829	47303
812	55920	47254
813	55995	47189
814	56058	47116
815	56126	47046
816	56192	46976
817	56254	46901
818	56311	46822
819	56372	46748
820	56441	46679
821	56504	46605
822	56567	46532
823	56634	46462
824	56710	46399
825	56779	46331
826	56848	46262
827	56918	46194
828	56986	46125
829	57055	46056
830	57123	45987
831	57184	45912
832	57248	45840
833	57308	45764
834	57372	45692
835	57434	45617
836	57495	45542
837	57564	45474
838	57630	45403
839	57690	45328
840	57751	45253
841	57816	45181
842	57879	45109
843	57948	45040
844	58007	44964
845	58068	44889
846	58126	44812
847	58191	44741
848	58264	44676
849	58328	44604
850	58388	44529
851	58449	44454
852	58518	44386
853	58576	44309
854	58634	44232
855	58696	44159
856	58766	44092
857	58826	44016
858	58890	43944
859	58971	43886
860	59040	43817
861	59110	43749
862	59169	43674
863	59236	43604
864	59301	43533
865	59359	43457
866	59422	43384
867	59487	43313
868	59552	43242
869	59641	43188
870	59767	43161
871	59838	43094
872	59900	43021
873	59970	42953
874	60031	42879
875	60097	42809
876	60159	42736
877	60224	42664
878	60286	42591
879	60370	42533
880	60438	42464
881	60504	42394
882	60569	42323
883	60651	42264
884	60740	42209
885	60827	42153
886	60924	42104
887	60996	42037
888	61071	41973
889	61140	41905
890	61204	41833
891	61263	41758
892	61332	41689
893	61395	41616
894	61457	41544
895	61518	41469
896	61579	41396
897	61638	41321
898	61705	41251
899	61764	41176
900	61832	41107
901	61891	41032
902	61952	40958
903	62013	40885
904	62076	40812
905	62143	40742
906	62195	40663
907	62260	40592
908	62323	40520
909	62390	40450
910	62451	40377
911	62507	40301
912	62576	40232
913	62639	40160
914	62693	40082
915	62756	40010
916	62825	39942
917	62890	39871
918	62952	39799
919	63016	39727
920	63090	39662
921	63157	39593
922	63220	39521
923	63285	39450
924	63349	39379
925	63409	39305
926	63472	39233
927	63540	39164
928	63601	39092
929	63666	39021
930	63727	38948
931	63795	38879
932	63857	38807
933	63918	38734
934	63984	38664
935	64042	38589
936	64104	38517
937	64173	38449
938	64241	38380
939	64308	38311
940	64379	38244
941	64444	38173
942	64502	38099
943	64557	38023
944	64624	37954
945	64692	37885
946	64755	37814
947	64816	37741
948	64888	37674
949	64957	37606
950	65016	37533
951	65081	37462
952	65159	37399
953	65225	37330
954	65290	37260
955	65353	37188
956	65420	37119
957	65486	37050
958	65550	36978
959	65633	36918
960	65718	36859
961	65818	36808
962	65908	36752
963	65983	36687
964	66056	36621
965	66125	36553
966	66199	36488
967	66266	36419
968	66337	36352
969	66409	36285
970	66473	36214
971	66539	36145
972	66595	36069
973	66658	35998
974	66723	35928
975	66789	35858
976	66860	35791
977	66940	35728
978	67004	35657
979	67074	35590
980	67138	35519
981	67211	35453
982	67271	35380
983	67336	35310
984	67399	35239
985	67466	35170
986	67531	35099
987	67602	35033
988	67666	34961
989	67733	34893
990	67801	34824
991	67870	34756
992	67939	34688
993	68007	34619
994	68079	34552
995	68152	34486
996	68219	34417
997	68285	34348
998	68345	34275
999	68415	34207
1000	68482	34138
1001	68554	34071
1002	68617	34000
1003	68691	33935
1004	68755	33864
1005	68819	33794
1006	68879	33721
1007	68956	33657
1008	69027	33590
1009	69085	33516
1010	69147	33445
1011	69217	33377
1012	69293	33312
1013	69353	33240
1014	69412	33167
1015	69468	33093
1016	69522	33018
1017	69587	32947
1018	69646	32875
1019	69718	32808
1020	69784	32739
1021	69844	32667
1022	69909	32597
1023	69978	32529
1024	70041	32458
1025	70111	32390
1026	70176	32320
1027	70234	32247
1028	70304	32180
1029	70364	32108
1030	70427	32037
1031	70492	31967
1032	70552	31895
1033	70624	31828
1034	70702	31765
1035	70782	31701
1036	70877	31645
1037	70961	31584
1038	71037	31519
1039	71107	31451
1040	71168	31379
1041	71221	31304
1042	71281	31232
1043	71344	31161
1044	71409	31092
1045	71477	31023
1046	71544	30954
1047	71609	30885
1048	71666	30811
1049	71730	30741
1050	71789	30669
1051	71851	30598
1052	71911	30526
1053	71976	30456
1054	72035	30384
1055	72114	30320
1056	72176	30250
1057	72239	30179
1058	72296	30106
1059	72358	30035
1060	72418	29964
1061	72479	29892
1062	72546	29823
1063	72608	29753
1064	72678	29685
1065	72743	29615
1066	72812	29548
1067	72878	29478
1068	72946	29410
1069	73023	29346
1070	73094	29278
1071	73153	29206
1072	73216	29136
1073	73281	29066
1074	73346	28997
1075	73415	28929
1076	73475	28858
1077	73533	28785
1078	73604	28718
1079	73671	28650
1080	73734	28579
1081	73805	28512
1082	73866	28441
1083	73936	28374
1084	73998	28303
1085	74067	28235
1086	74128	28164
1087	74189	28093
1088	74256	28025
1089	74322	27956
1090	74383	27885
1091	74450	27816
1092	74518	27748
1093	74586	27680
1094	74646	27608
1095	74717	27542
1096	74782	27472
1097	74856	27406
1098	74926	27338
1099	75041	27287
1100	75125	27225
1101	75191	27156
1102	75260	27088
1103	75330	27020
1104	75403	26954
1105	75476	26887
1106	75553	26822
1107	75686	26777
1108	75813	26729
1109	75907	26670
1110	76004	26611
1111	76080	26546
1112	76140	26474
1113	76205	26405
1114	76267	26334
1115	76330	26264
1116	76387	26192
1117	76454	26122
1118	76522	26054
1119	76589	25985
1120	76657	25917
1121	76721	25847
1122	76793	25780
1123	76854	25709
1124	76927	25642
1125	76991	25572
1126	77049	25500
1127	77110	25430
1128	77183	25363
1129	77250	25294
1130	77318	25225
1131	77384	25156
1132	77455	25089
1133	77533	25023
1134	77599	24954
1135	77659	24883
1136	77719	24812
1137	77801	24748
1138	77874	24682
1139	77937	24611
1140	78013	24545
1141	78083	24478
1142	78142	24406
1143	78203	24336
1144	78266	24266
1145	78326	24195
1146	78388	24124
1147	78455	24056
1148	78513	23984
1149	78587	23917
1150	78657	23850
1151	78725	23781
1152	78790	23712
1153	78856	23643
1154	78917	23572
1155	78986	23504
1156	79046	23433
1157	79112	23364
1158	79181	23296
1159	79248	23228
1160	79312	23158
1161	79374	23088
1162	79429	23016
1163	79498	22947
1164	79569	22880
1165	79634	22811
1166	79696	22741
1167	79771	22674
1168	79828	22603
1169	79887	22532
1170	79955	22464
1171	80020	22394
1172	80088	22326
1173	80152	22256
1174	80211	22186
1175	80274	22116
1176	80341	22047
1177	80404	21978
1178	80468	21908
1179	80532	21839
1180	80599	21770
1181	80661	21700
1182	80736	21634
1183	80814	21568
1184	80902	21505
1185	80991	21442
1186	81051	21372
1187	81119	21304
1188	81187	21235
1189	81263	21169
1190	81335	21102
1191	81400	21033
1192	81464	20963
1193	81528	20894
1194	81602	20827
1195	81659	20756
1196	81721	20686
1197	81781	20616
1198	81847	20547
1199	81903	20475
1200	81968	20406
1201	82034	20338
1202	82100	20269
1203	82166	20200
1204	82225	20129
1205	82294	20061
1206	82361	19993
1207	82427	19924
1208	82496	19856
1209	82590	19794
1210	82675	19730
1211	82749	19663
1212	82832	19598
1213	82917	19534
1214	82985	19465
1215	83052	19397
1216	83116	19327
1217	83177	19257
1218	83235	19187
1219	83310	19120
1220	83373	19050
1221	83441	18982
1222	83509	18914
1223	83577	18845
1224	83656	18779
1225	83733	18713
1226	83802	18645
1227	83870	18577
1228	83935	18508
1229	84002	18439
1230	84060	18369
1231	84121	18299
1232	84177	18228
1233	84237	18158
1234	84305	18089
1235	84372	18021
1236	84432	17951
1237	84491	17881
1238	84550	17810
1239	84615	17741
1240	84676	17672
1241	84737	17602
1242	84814	17535
1243	84870	17465
1244	84932	17395
1245	84995	17326
1246	85068	17259
1247	85137	17191
1248	85201	17122
1249	85265	17053
1250	85329	16984
1251	85399	16916
1252	85460	16846
1253	85531	16778
1254	85610	16712
1255	85691	16647
1256	85776	16582
1257	85878	16520
1258	85968	16456
1259	86035	16387
1260	86103	16319
1261	86171	16251
1262	86235	16181
1263	86299	16112
1264	86372	16045
1265	86427	15974
1266	86497	15906
1267	86562	15837
1268	86621	15768
1269	86682	15698
1270	86751	15630
1271	86821	15562
1272	86886	15493
1273	86949	15424
1274	87017	15356
1275	87084	15287
1276	87147	15218
1277	87213	15149
1278	87272	15079
1279	87331	15010
1280	87392	14940
1281	87462	14872
1282	87524	14803
1283	87590	14734
1284	87656	14666
1285	87724	14598
1286	87795	14530
1287	87859	14461
1288	87934	14394
1289	88002	14325
1290	88065	14256
1291	88130	14188
1292	88195	14119
1293	88258	14050
1294	88329	13982
1295	88394	13913
1296	88461	13845
1297	88531	13777
1298	88592	13708
1299	88656	13639
1300	88723	13571
1301	88789	13502
1302	88863	13435
1303	88927	13366
1304	88988	13297
1305	89053	13228
1306	89115	13159
1307	89180	13090
1308	89248	13022
1309	89313	12953
1310	89375	12884
1311	89438	12815
1312	89510	12748
1313	89577	12679
1314	89643	12611
1315	89712	12543
1316	89774	12474
1317	89851	12407
1318	89923	12339
1319	89989	12271
1320	90054	12202
1321	90118	12133
1322	90179	12064
1323	90245	11996
1324	90315	11928
1325	90383	11860
1326	90454	11792
1327	90528	11725
1328	90616	11659
1329	90701	11593
1330	90786	11527
1331	90868	11460
1332	90959	11395
1333	91029	11327
1334	91099	11259
1335	91164	11190
1336	91226	11121
1337	91288	11052
1338	91357	10984
1339	91422	10916
1340	91487	10847
1341	91562	10780
1342	91630	10711
1343	91696	10643
1344	91758	10574
1345	91825	10506
1346	91893	10437
1347	91954	10368
1348	92015	10299
1349	92071	10230
1350	92132	10161
1351	92196	10092
1352	92256	10023
1353	92317	9954
1354	92384	9886
1355	92441	9816
1356	92510	9748
1357	92594	9682
1358	92653	9613
1359	92722	9544
1360	92791	9476
1361	92855	9408
1362	92921	9339
1363	92990	9271
1364	93056	9203
1365	93122	9134
1366	93187	9066
1367	93246	8997
1368	93303	8928
1369	93367	8859
1370	93422	8790
1371	93480	8721
1372	93546	8652
1373	93614	8584
1374	93678	8516
1375	93738	8447
1376	93797	8378
1377	93856	8309
1378	93925	8241
1379	93983	8172
1380	94042	8103
1381	94102	8034
1382	94167	7966
1383	94232	7898
1384	94287	7828
1385	94347	7760
1386	94405	7691
1387	94473	7623
1388	94540	7555
1389	94598	7486
1390	94669	7418
1391	94742	7350
1392	94815	7282
1393	94882	7214
1394	94959	7147
1395	95031	7079
1396	95093	7011
1397	95165	6943
1398	95231	6875
1399	95300	6807
1400	95369	6739
1401	95430	6670
1402	95495	6602
1403	95567	6534
1404	95656	6467
1405	95734	6400
1406	95836	6334
1407	95906	6266
1408	95976	6198
1409	96043	6130
1410	96113	6062
1411	96182	5994
1412	96242	5925
1413	96307	5857
1414	96383	5789
1415	96455	5721
1416	96516	5653
1417	96578	5584
1418	96643	5516
1419	96718	5448
1420	96788	5380
1421	96868	5313
1422	96925	5244
1423	97001	5177
1424	97066	5108
1425	97129	5040
1426	97191	4971
1427	97259	4903
1428	97326	4835
1429	97396	4767
1430	97464	4699
1431	97530	4631
1432	97597	4563
1433	97681	4495
1434	97754	4427
1435	97825	4359
1436	97897	4291
1437	97963	4223
1438	98037	4155
1439	98115	4088
1440	98198	4020
1441	98281	3953
1442	98381	3886
1443	98469	3818
1444	98556	3751
1445	98718	3686
1446	98809	3619
1447	98873	3550
1448	98940	3482
1449	99008	3414
1450	99070	3345
1451	99142	3277
1452	99223	3209
1453	99298	3141
1454	99365	3073
1455	99433	3004
1456	99506	2936
1457	99572	2868
1458	99634	2799
1459	99701	2731
1460	99767	2663
1461	99826	2594
1462	99890	2526
1463	99955	2457
1464	100035	2389
1465	100105	2321
1466	100168	2253
1467	100229	2184
1468	100292	2116
1469	100349	2047
1470	100414	1979
1471	100477	1911
1472	100538	1842
1473	100605	1774
1474	100677	1706
1475	100754	1638
1476	100839	1570
1477	100918	1502
1478	100980	1433
1479	101037	1365
1480	101106	1297
1481	101171	1228
1482	101234	1160
1483	101299	1092
1484	101362	1023
1485	101426	955
1486	101490	887
1487	101548	818
1488	101608	750
1489	101667	682
1490	101744	614
1491	101816	545
1492	101879	477
1493	101945	409
1494	102012	341
1495	102074	272
1496	102155	204
1497	102218	136
1498	102285	68
1499	102349	0
